,open,high,low,close
2018-10-29,1.139725,1.141655,1.136055,1.137295
2018-10-30,1.1373,1.13878,1.134055,1.13449
2018-10-31,1.1345,1.136015,1.13022,1.131175
2018-11-01,1.131505,1.142425,1.130825,1.14087
2018-11-02,1.140815,1.14559,1.137235,1.13877
2018-11-05,1.13915,1.142405,1.135345,1.14073
2018-11-06,1.140875,1.143785,1.13915,1.142665
2018-11-07,1.142585,1.149975,1.13947,1.14261
2018-11-08,1.14338,1.144715,1.135165,1.13636
2018-11-09,1.136625,1.136895,1.13163,1.133515
2018-11-12,1.132475,1.133065,1.121565,1.12182
2018-11-13,1.122125,1.129375,1.12195,1.12911
2018-11-14,1.128925,1.134805,1.126305,1.130895
2018-11-15,1.13135,1.136245,1.127085,1.132945
2018-11-16,1.132725,1.14205,1.132165,1.1415
2018-11-19,1.1417,1.14646,1.1394,1.145375
2018-11-20,1.1452,1.147235,1.135825,1.13703
2018-11-21,1.136855,1.142485,1.136565,1.138485
2018-11-22,1.138325,1.14341,1.138215,1.14022
2018-11-23,1.1404,1.142135,1.13277,1.13357
2018-11-26,1.134095,1.138385,1.132495,1.132805
2018-11-27,1.13275,1.134375,1.12776,1.1289
2018-11-28,1.12935,1.13877,1.126715,1.136625
2018-11-29,1.136825,1.14017,1.134875,1.13933
2018-11-30,1.13925,1.140055,1.130555,1.131615
2018-12-03,1.1345,1.13798,1.131935,1.135485
2018-12-04,1.1354,1.141905,1.131865,1.13427
2018-12-05,1.13425,1.136135,1.131105,1.134465
2018-12-06,1.13452,1.141275,1.132105,1.137665
2018-12-07,1.137555,1.142355,1.136045,1.138775
2018-12-10,1.139525,1.144275,1.135055,1.135565
2018-12-11,1.13525,1.140025,1.13064,1.131725
2018-12-12,1.1318,1.13875,1.131515,1.136835
2018-12-13,1.136825,1.13935,1.133115,1.13593
2018-12-14,1.13625,1.136515,1.126995,1.13054
2018-12-17,1.1303,1.13578,1.130085,1.134745
2018-12-18,1.135,1.14023,1.133675,1.136095
2018-12-19,1.136455,1.143935,1.13644,1.13758
2018-12-20,1.137975,1.148625,1.137625,1.144625
2018-12-21,1.144825,1.14742,1.13561,1.137275
2018-12-24,1.136675,1.14387,1.136095,1.1408
2018-12-26,1.14137,1.14165,1.13431,1.135275
2018-12-27,1.1357,1.145435,1.135285,1.143025
2018-12-28,1.14318,1.147285,1.142765,1.14428
2018-12-31,1.143825,1.146605,1.14214,1.145635
2019-01-02,1.14614,1.149685,1.132505,1.13439
2019-01-03,1.134325,1.141125,1.13096,1.13936
2019-01-04,1.138975,1.14192,1.134575,1.139565
2019-01-07,1.140425,1.148265,1.139865,1.147435
2019-01-08,1.147305,1.148475,1.142215,1.144125
2019-01-09,1.1441,1.15582,1.14375,1.15428
2019-01-10,1.15445,1.156995,1.148445,1.15001
2019-01-11,1.15005,1.154065,1.145815,1.146845
2019-01-14,1.1464,1.148195,1.145055,1.146875
2019-01-15,1.146925,1.148975,1.138175,1.14133
2019-01-16,1.14115,1.142495,1.13778,1.13922
2019-01-17,1.139575,1.140595,1.137015,1.13888
2019-01-18,1.13906,1.141035,1.135335,1.13623
2019-01-21,1.136375,1.13914,1.135685,1.136625
2019-01-22,1.136825,1.137405,1.133615,1.13596
2019-01-23,1.13635,1.13944,1.135085,1.138155
2019-01-24,1.138225,1.139165,1.12894,1.1304
2019-01-25,1.13057,1.141775,1.13007,1.140735
2019-01-28,1.14055,1.144375,1.13902,1.142745
2019-01-29,1.1426,1.145025,1.141125,1.143325
2019-01-30,1.143325,1.150175,1.140615,1.14794
2019-01-31,1.148525,1.151435,1.143575,1.144715
2019-02-01,1.1448,1.14886,1.143445,1.145635
2019-02-04,1.145575,1.146045,1.142445,1.143655
2019-02-05,1.143705,1.144055,1.14012,1.140565
2019-02-06,1.1408,1.140955,1.136105,1.136235
2019-02-07,1.13618,1.136845,1.132465,1.134105
2019-02-08,1.134,1.135085,1.13208,1.132155
2019-02-11,1.131375,1.133025,1.12673,1.127595
2019-02-12,1.12773,1.133975,1.125765,1.132535
2019-02-13,1.13315,1.134155,1.126035,1.12607
2019-02-14,1.12655,1.130995,1.124935,1.12954
2019-02-15,1.129575,1.130625,1.12342,1.129255
2019-02-18,1.12945,1.133385,1.12893,1.131165
2019-02-19,1.13099,1.135755,1.127565,1.13401
2019-02-20,1.13425,1.137125,1.132505,1.133635
2019-02-21,1.1344,1.136645,1.132005,1.133445
